level,model,sku_id,description,observations,mae,rmse,wmape
sku,moving_average_7,16168M,FUNKY MONKEY GIFT BAG MEDIUM,28,2.2857,5.0997,1.7778
sku,seasonal_naive_lag_7,16168M,FUNKY MONKEY GIFT BAG MEDIUM,28,2.4643,6.5982,1.9167
sku,weekday_seasonal_mean,16168M,FUNKY MONKEY GIFT BAG MEDIUM,28,3.0965,5.1796,2.4084
sku,naive_lag_1,16169C,WRAP BLUE REINDEER,28,0.0000,0.0000,0.0000
sku,moving_average_7,16169C,WRAP BLUE REINDEER,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16169C,WRAP BLUE REINDEER,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16169C,WRAP BLUE REINDEER,28,1.8960,2.1740,0.0000
sku,naive_lag_1,16169E,WRAP 50'S CHRISTMAS,28,41.8929,54.4377,1.1718
sku,moving_average_7,16169E,WRAP 50'S CHRISTMAS,28,36.4388,45.3618,1.0193
sku,seasonal_naive_lag_7,16169E,WRAP 50'S CHRISTMAS,28,42.7857,60.4306,1.1968
sku,weekday_seasonal_mean,16169E,WRAP 50'S CHRISTMAS,28,32.2007,46.1198,0.9007
sku,naive_lag_1,16169K,WRAP FOLK ART,28,0.0000,0.0000,0.0000
sku,moving_average_7,16169K,WRAP FOLK ART,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16169K,WRAP FOLK ART,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16169K,WRAP FOLK ART,28,2.9145,3.4327,0.0000
sku,naive_lag_1,16169M,WRAP DAISY CARPET,28,3.5714,9.4491,2.0000
sku,moving_average_7,16169M,WRAP DAISY CARPET,28,3.9541,6.8499,2.2143
sku,seasonal_naive_lag_7,16169M,WRAP DAISY CARPET,28,2.6786,8.1832,1.5000
sku,weekday_seasonal_mean,16169M,WRAP DAISY CARPET,28,3.9590,6.3212,2.2170
sku,naive_lag_1,16169N,WRAP BLUE RUSSIAN FOLKART,28,0.0000,0.0000,0.0000
sku,moving_average_7,16169N,WRAP BLUE RUSSIAN FOLKART,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16169N,WRAP BLUE RUSSIAN FOLKART,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16169N,WRAP BLUE RUSSIAN FOLKART,28,2.8434,3.5366,0.0000
sku,naive_lag_1,16169P,WRAP GREEN RUSSIAN FOLKART,28,0.0000,0.0000,0.0000
sku,moving_average_7,16169P,WRAP GREEN RUSSIAN FOLKART,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16169P,WRAP GREEN RUSSIAN FOLKART,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16169P,WRAP GREEN RUSSIAN FOLKART,28,2.4576,3.0886,0.0000
sku,naive_lag_1,16207A,UNKNOWN,28,0.0714,0.2673,2.0000
sku,moving_average_7,16207A,UNKNOWN,28,0.0816,0.2056,2.2857
sku,seasonal_naive_lag_7,16207A,UNKNOWN,28,0.1071,0.3273,3.0000
sku,weekday_seasonal_mean,16207A,UNKNOWN,28,0.3976,0.5827,11.1340
sku,naive_lag_1,16207B,PINK HEART RED HANDBAG,28,0.0000,0.0000,0.0000
sku,moving_average_7,16207B,PINK HEART RED HANDBAG,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16207B,PINK HEART RED HANDBAG,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16207B,PINK HEART RED HANDBAG,28,0.3858,0.6068,0.0000
sku,naive_lag_1,16212,UNKNOWN,28,0.0000,0.0000,0.0000
sku,moving_average_7,16212,UNKNOWN,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16212,UNKNOWN,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16212,UNKNOWN,28,0.6156,0.7827,0.0000
sku,naive_lag_1,16216,LETTER SHAPE PENCIL SHARPENER,28,29.5714,46.0124,1.8238
sku,moving_average_7,16216,LETTER SHAPE PENCIL SHARPENER,28,24.3724,33.9624,1.5031
sku,seasonal_naive_lag_7,16216,LETTER SHAPE PENCIL SHARPENER,28,27.8929,45.0773,1.7203
sku,weekday_seasonal_mean,16216,LETTER SHAPE PENCIL SHARPENER,28,18.6007,33.8645,1.1472
sku,naive_lag_1,16218,CARTOON PENCIL SHARPENERS,28,15.8929,32.3899,1.8163
sku,moving_average_7,16218,CARTOON PENCIL SHARPENERS,28,11.9133,22.5081,1.3615
sku,seasonal_naive_lag_7,16218,CARTOON PENCIL SHARPENERS,28,8.2143,20.0446,0.9388
sku,weekday_seasonal_mean,16218,CARTOON PENCIL SHARPENERS,28,11.4152,22.8973,1.3046
sku,naive_lag_1,16219,HOUSE SHAPE PENCIL SHARPENER,28,15.1071,24.2774,1.8312
sku,moving_average_7,16219,HOUSE SHAPE PENCIL SHARPENER,28,12.3980,16.0793,1.5028
sku,seasonal_naive_lag_7,16219,HOUSE SHAPE PENCIL SHARPENER,28,10.8214,19.5092,1.3117
sku,weekday_seasonal_mean,16219,HOUSE SHAPE PENCIL SHARPENER,28,8.2931,16.1612,1.0052
sku,naive_lag_1,16225,RATTLE SNAKE EGGS,28,7.8929,13.9809,1.3558
sku,moving_average_7,16225,RATTLE SNAKE EGGS,28,6.1327,11.2797,1.0535
sku,seasonal_naive_lag_7,16225,RATTLE SNAKE EGGS,28,6.0357,12.4255,1.0368
sku,weekday_seasonal_mean,16225,RATTLE SNAKE EGGS,28,5.0770,11.5408,0.8721
sku,naive_lag_1,16235,RECYCLED PENCIL WITH RABBIT ERASER,28,13.6429,24.1395,1.5851
sku,moving_average_7,16235,RECYCLED PENCIL WITH RABBIT ERASER,28,10.6888,17.5070,1.2418
sku,seasonal_naive_lag_7,16235,RECYCLED PENCIL WITH RABBIT ERASER,28,11.3214,22.7259,1.3154
sku,weekday_seasonal_mean,16235,RECYCLED PENCIL WITH RABBIT ERASER,28,9.5228,15.9712,1.1064
sku,naive_lag_1,16236,KITTY PENCIL ERASERS,28,9.8214,19.0122,1.9928
sku,moving_average_7,16236,KITTY PENCIL ERASERS,28,8.3878,13.3014,1.7019
sku,seasonal_naive_lag_7,16236,KITTY PENCIL ERASERS,28,9.5714,19.0544,1.9420
sku,weekday_seasonal_mean,16236,KITTY PENCIL ERASERS,28,5.2805,12.0306,1.0714
sku,naive_lag_1,16237,SLEEPING CAT ERASERS,28,36.2143,55.6064,1.3238
sku,moving_average_7,16237,SLEEPING CAT ERASERS,28,27.9490,40.8732,1.0216
sku,seasonal_naive_lag_7,16237,SLEEPING CAT ERASERS,28,32.0714,48.0840,1.1723
sku,weekday_seasonal_mean,16237,SLEEPING CAT ERASERS,28,22.5157,38.5709,0.8230
sku,naive_lag_1,16238,PARTY TIME PENCIL ERASERS,28,12.2857,20.3856,1.9326
sku,moving_average_7,16238,PARTY TIME PENCIL ERASERS,28,9.2398,13.7407,1.4535
sku,seasonal_naive_lag_7,16238,PARTY TIME PENCIL ERASERS,28,9.2143,16.7311,1.4494
sku,weekday_seasonal_mean,16238,PARTY TIME PENCIL ERASERS,28,6.6072,13.3438,1.0393
sku,naive_lag_1,16256B,UNKNOWN,28,0.0000,0.0000,0.0000
sku,moving_average_7,16256B,UNKNOWN,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16256B,UNKNOWN,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16256B,UNKNOWN,28,0.7802,0.9667,0.0000
sku,naive_lag_1,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,28,9.4286,19.4128,1.4043
sku,moving_average_7,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,28,7.2449,15.5676,1.0790
sku,seasonal_naive_lag_7,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,28,7.3214,17.2181,1.0904
sku,weekday_seasonal_mean,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,28,6.6774,16.7562,0.9945
sku,naive_lag_1,16259,PIECE OF CAMO STATIONERY SET,28,0.8571,3.2071,2.0000
sku,moving_average_7,16259,PIECE OF CAMO STATIONERY SET,28,0.9388,2.3161,2.1905
sku,seasonal_naive_lag_7,16259,PIECE OF CAMO STATIONERY SET,28,1.1429,3.5456,2.6667
sku,weekday_seasonal_mean,16259,PIECE OF CAMO STATIONERY SET,28,7.5434,9.1963,17.6012
sku,naive_lag_1,17003,BROCADE RING PURSE,28,56.5714,76.2430,1.2571
sku,moving_average_7,17003,BROCADE RING PURSE,28,47.9490,58.8390,1.0655
sku,seasonal_naive_lag_7,17003,BROCADE RING PURSE,28,53.1786,72.6309,1.1817
sku,weekday_seasonal_mean,17003,BROCADE RING PURSE,28,78.3025,98.6156,1.7401
sku,naive_lag_1,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,28,0.3571,1.3363,2.0000
sku,moving_average_7,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,28,0.4592,1.0386,2.5714
sku,seasonal_naive_lag_7,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,28,0.5000,1.5353,2.8000
sku,weekday_seasonal_mean,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,28,1.1913,1.5983,6.6711
sku,naive_lag_1,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,28,0.1429,0.3780,2.0000
sku,moving_average_7,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,28,0.1429,0.2857,2.0000
sku,seasonal_naive_lag_7,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,28,0.1429,0.3780,2.0000
sku,weekday_seasonal_mean,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,28,0.9371,1.3225,13.1194
sku,naive_lag_1,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,28,5.7143,9.7980,1.8391
sku,moving_average_7,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,28,4.4592,6.8155,1.4351
sku,seasonal_naive_lag_7,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,28,4.3214,8.0689,1.3908
sku,weekday_seasonal_mean,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,28,3.4072,6.7498,1.0966
sku,naive_lag_1,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,28,10.1429,14.0509,1.5604
sku,moving_average_7,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,28,8.1531,10.0161,1.2543
sku,seasonal_naive_lag_7,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,28,8.3214,12.8271,1.2802
sku,weekday_seasonal_mean,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,28,6.2059,11.1593,0.9548
