sku_id,description,category,selected_model,observations,actual_units,forecast_units,bias_units,mae,rmse,wmape
16237,SLEEPING CAT ERASERS,UNMAPPED,weekday_seasonal_mean,14,439.0000,188.9844,-250.0156,28.9412,49.5866,0.9230
22609,PENS ASSORTED SPACEBALL,UNMAPPED,xgboost,14,297.0000,580.8970,283.8970,28.8468,34.3673,1.3598
22111,SCOTTIE DOG HOT WATER BOTTLE,UNMAPPED,weekday_seasonal_mean,14,567.0000,172.3644,-394.6356,28.5249,43.7873,0.7043
82484,WOOD BLACK BOARD ANT WHITE FINISH,UNMAPPED,gru,14,434.0000,85.3511,-348.6489,28.4776,62.0933,0.9186
22423,REGENCY CAKESTAND 3 TIER,UNMAPPED,weekday_seasonal_mean,14,640.0000,498.3572,-141.6428,28.4216,44.9960,0.6217
22629,SPACEBOY LUNCH BOX,UNMAPPED,weekday_seasonal_mean,14,531.0000,385.5618,-145.4382,28.4092,47.9534,0.7490
22419,LIPSTICK PEN RED,UNMAPPED,weekday_seasonal_mean,14,451.0000,122.1446,-328.8554,28.2679,44.8098,0.8775
22594,CHRISTMAS GINGHAM TREE,UNMAPPED,lightgbm,14,282.0000,423.2635,141.2635,28.0400,41.5578,1.3921
21975,PACK OF 60 DINOSAUR CAKE CASES,UNMAPPED,seasonal_naive_lag_7,14,180.0000,388.0000,208.0000,28.0000,47.6025,2.1778
22539,MINI JIGSAW DOLLY GIRL,UNMAPPED,lstm,14,402.0000,23.3590,-378.6410,27.9276,49.6788,0.9726
23351,ROLL WRAP 50'S CHRISTMAS,UNMAPPED,xgboost,14,467.0000,677.7106,210.7106,27.5799,38.5761,0.8268
23076,ICE CREAM SUNDAE LIP GLOSS,UNMAPPED,lstm,14,421.0000,83.4585,-337.5415,27.5156,35.5209,0.9150
22344,PARTY PIZZA DISH PINK POLKADOT,UNMAPPED,naive_lag_1,14,225.0000,237.0000,12.0000,27.4286,62.4054,1.7067
22346,PARTY PIZZA DISH GREEN POLKADOT,UNMAPPED,naive_lag_1,14,231.0000,243.0000,12.0000,27.4286,61.3247,1.6623
23378,PACK OF 12 50'S CHRISTMAS TISSUES,UNMAPPED,seasonal_naive_lag_7,14,262.0000,396.0000,134.0000,27.4286,47.3407,1.4656
22151,PLACE SETTING WHITE HEART,UNMAPPED,lightgbm,14,427.0000,399.9583,-27.0417,27.3969,37.1629,0.8983
22558,CLOTHES PEGS RETROSPOT PACK 24,UNMAPPED,gru,14,440.0000,122.6436,-317.3564,27.2380,50.5343,0.8667
21908,CHOCOLATE THIS WAY METAL SIGN,UNMAPPED,seasonal_naive_lag_7,14,295.0000,262.0000,-33.0000,26.9286,48.0483,1.2780
84988,SET OF 72 PINK HEART PAPER DOILIES,UNMAPPED,seasonal_naive_lag_7,14,57.0000,394.0000,337.0000,26.9286,84.0973,6.6140
22343,PARTY PIZZA DISH RED RETROSPOT,UNMAPPED,lstm,14,373.0000,10.9548,-362.0452,26.6790,63.8944,1.0014
22563,HAPPY STENCIL CRAFT,UNMAPPED,gru,14,397.0000,81.2538,-315.7462,26.5058,52.0471,0.9347
22153,ANGEL DECORATION STARS ON DRESS,UNMAPPED,lightgbm,14,322.0000,430.6422,108.6422,26.2932,35.0581,1.1432
22076,6 RIBBONS EMPIRE,UNMAPPED,weekday_seasonal_mean,14,404.0000,37.3894,-366.6106,26.2792,43.3450,0.9107
21892,TRADITIONAL WOODEN CATCH CUP GAME,UNMAPPED,xgboost,14,250.0000,393.6848,143.6848,26.1846,37.1553,1.4663
21889,WOODEN BOX OF DOMINOES,UNMAPPED,seasonal_naive_lag_7,14,432.0000,508.0000,76.0000,26.1429,38.4001,0.8472
23503,PLAYING CARDS KEEP CALM & CARRY ON,UNMAPPED,xgboost,14,374.0000,735.4041,361.4041,25.8146,30.6062,0.9663
22217,T-LIGHT HOLDER HANGING LACE,UNMAPPED,lstm,14,372.0000,16.9179,-355.0821,25.8099,44.3147,0.9713
21231,SWEETHEART CERAMIC TRINKET BOX,UNMAPPED,lightgbm,14,315.0000,398.5958,83.5958,25.7290,35.0548,1.1435
84992,72 SWEETHEART FAIRY CAKE CASES,UNMAPPED,gru,14,391.0000,136.5004,-254.4996,25.6553,39.0456,0.9186
20971,PINK BLUE FELT CRAFT TRINKET BOX,UNMAPPED,weekday_seasonal_mean,14,465.0000,413.1840,-51.8160,25.5882,38.7337,0.7704
46000S,POLYESTER FILLER PAD 40x40cm,UNMAPPED,lstm,14,355.0000,32.9947,-322.0053,25.5218,80.9120,1.0065
85178,VICTORIAN SEWING KIT,UNMAPPED,seasonal_naive_lag_7,14,47.0000,330.0000,283.0000,25.5000,80.7912,7.5957
23263,SET OF 3 WOODEN HEART DECORATIONS,UNMAPPED,lightgbm,14,320.0000,654.4345,334.4345,25.3973,31.1460,1.1111
22188,BLACK HEART CARD HOLDER,UNMAPPED,lstm,14,353.0000,9.2889,-343.7111,25.3884,89.9037,1.0069
